Name,Food_Group,Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Fiber (g),Cholesterol (mg),Saturated Fats (g),Calcium (mg),"Iron, Fe (mg)","Potassium, K (mg)",Magnesium (mg),"Vitamin A, IU (IU)","Vitamin A, RAE (mcg)",Vitamin C (mg),Vitamin B-12 (mcg),Vitamin D (mcg),Vitamin E (Alpha-Tocopherol) (mg)
Soy Protein Powder (Isolate),Beans and Lentils,335,3.39,88.32,0,0,0,0,0.422,178,14.5,81,39,0,0,0,0,0,0
Soy Protein Isolate Potassium Type,Beans and Lentils,321,0.53,88.32,2.59,0,0,0,0.077,178,14.5,1590,39,0,0,0,0,0,0
Vital Wheat Gluten,Grains and Pasta,370,1.85,75.16,13.79,0,0.6,0,0.272,142,5.2,100,25,0,0,0,0,0,0
Soy Protein Concentrate Produced By Alcohol Extraction,Beans and Lentils,328,0.46,63.63,25.41,20,5.5,0,0.052,363,10.78,2202,315,0,0,0,0,0,0
Soy Protein Concentrate Produced By Acid Wash,Beans and Lentils,328,0.46,63.63,25.41,20,5.5,0,0.052,363,10.78,450,140,0,0,0,0,0,NULL
Dried Spirulina Seaweed,Vegetables,290,7.72,57.47,23.9,3.1,3.6,0,2.65,120,28.5,1363,195,570,29,10.1,0,0,5
Tofu Dried-Frozen (Koyadofu),Beans and Lentils,477,30.34,52.47,10.03,NULL,7.2,0,4.388,364,9.73,20,59,518,26,0.7,0,0,NULL
Tofu Dried-Frozen (Koyadofu) Prepared With Calcium Sulfate,Beans and Lentils,470,30.34,52.43,8.3,NULL,1.2,0,4.388,2134,9.73,20,181,0,0,0.7,0,0,NULL
Peanut Flour Defatted,Beans and Lentils,327,0.55,52.2,34.7,8.22,15.8,0,0.063,140,2.1,1290,370,0,0,0,0,0,0.05
Soy Flour Defatted,Beans and Lentils,327,1.22,51.46,33.92,16.42,17.5,0,0.136,241,9.24,2384,290,40,2,0,0,0,0.12
Seeds Sesame Flour Low-Fat,Nuts and Seeds,333,1.75,50.14,35.51,NULL,NULL,0,0.201,149,14.22,397,338,64,3,0,0,0,NULL
Seeds Cottonseed Flour Low Fat (Glandless),Nuts and Seeds,332,1.41,49.83,36.1,NULL,NULL,0,0.31,474,12.58,1761,716,432,22,2.4,0,0,NULL
Soy Flour Low-Fat,Beans and Lentils,372,8.9,49.81,30.63,9.33,16,0,1.29,285,8.2,2090,285,40,2,0,0,0,0.55
Soy Meal Defatted Raw,Beans and Lentils,337,2.39,49.2,35.89,NULL,NULL,0,0.268,244,13.7,2490,306,40,2,0,0,0,NULL
Seeds Cottonseed Meal Partially Defatted (Glandless),Nuts and Seeds,367,4.77,49.1,38.43,NULL,NULL,0,1.207,504,13.35,1869,760,458,23,2.5,0,0,NULL
Seeds Sunflower Seed Flour Partially Defatted,Nuts and Seeds,326,1.61,48.06,35.83,NULL,5.2,0,0.138,114,6.62,67,346,49,2,1.3,0,0,NULL
Dry-Roasted Soybeans,Beans and Lentils,449,21.62,43.32,28.98,NULL,8.1,0,3.127,140,3.95,1364,228,0,0,4.6,0,0,NULL
Meat Extender,Beans and Lentils,311,2.97,41.71,34.71,NULL,17.5,0,0.424,204,11.99,1902,216,32,2,0,6,0,NULL
Seeds Cottonseed Flour Partially Defatted (Glandless),Nuts and Seeds,359,6.2,40.96,40.54,NULL,3,0,1.588,478,12.66,1772,721,434,22,2.4,0,0,NULL
Seeds Sesame Flour Partially Defatted,Nuts and Seeds,382,11.89,40.32,35.14,NULL,NULL,0,1.634,150,14.3,425,362,69,3,0,0,0,NULL
Soybeans Mature Seeds Roasted Salted,Beans and Lentils,469,25.4,38.55,30.22,4.2,17.7,0,3.674,138,3.9,1470,145,200,10,2.2,0,0,0.91
Soybeans Mature Seeds Roasted No Salt Added,Beans and Lentils,469,25.4,38.55,30.22,NULL,17.7,0,3.674,138,3.9,1470,145,0,0,2.2,0,0,NULL
Soy Flour Full-Fat Roasted,Beans and Lentils,439,21.86,38.09,30.38,7.61,9.7,0,3.162,188,5.82,2041,369,122,6,0,0,0,1.98
Soy Flour Full-Fat Raw,Beans and Lentils,434,20.65,37.81,31.92,7.5,9.6,0,2.987,206,6.37,2515,429,120,6,0,0,0,1.95
Soybeans Mature Seeds Raw,Beans and Lentils,446,19.94,36.49,30.16,7.33,9.3,0,2.884,277,15.7,1797,280,22,1,6,0,0,0.85
Lupins Mature Seeds Raw,Beans and Lentils,371,9.74,36.17,40.37,NULL,18.9,0,1.156,176,4.36,1013,198,0,0,4.8,0,0,NULL
Seeds Safflower Seed Meal Partially Defatted,Nuts and Seeds,342,2.39,35.62,48.73,NULL,NULL,0,0.207,77,4.86,68,350,49,2,0,0,0,NULL
Peanut Flour Low Fat,Beans and Lentils,428,21.9,33.8,31.27,NULL,15.8,0,3.04,130,4.74,1358,48,0,0,0,0,0,NULL
Seeds Cottonseed Kernels Roasted (Glandless),Nuts and Seeds,506,36.29,32.59,21.9,NULL,5.5,0,9.699,100,5.4,1350,440,442,22,9,0,0,NULL
Bacon Bits Meatless,Beans and Lentils,476,25.9,32,28.6,0,10.2,0,4.055,101,0.72,145,95,0,0,1.9,1.2,0,6.9
Hemp Seeds,Nuts and Seeds,553,48.75,31.56,8.67,1.5,4,0,4.6,70,7.95,1200,700,11,1,0.5,NULL,NULL,0.8
Freeze-Dried Parsley,Vegetables,271,5.2,31.3,42.38,NULL,32.7,0,NULL,176,53.9,6300,372,63240,NULL,149,0,0,NULL
Seeds Sesame Flour High-Fat,Nuts and Seeds,526,37.1,30.78,26.62,NULL,NULL,0,5.196,159,15.17,423,361,69,3,0,0,0,NULL
Dried Pumpkin And Squash Seeds,Nuts and Seeds,559,49.05,30.23,10.71,1.4,6,0,8.659,46,8.82,809,592,16,1,1.9,0,0,2.18
Roasted Squash And Pumpkin Seeds (Salted),Nuts and Seeds,574,49.05,29.84,14.71,1.29,6.5,0,8.544,52,8.07,788,550,8,0,1.8,0,0,0.56
Roasted Squash And Pumpkin Seeds (Unsalted),Nuts and Seeds,574,49.05,29.84,14.71,1.29,6.5,0,8.544,52,8.07,788,550,8,0,1.8,0,0,0.56
Winged Beans Mature Seeds Raw,Beans and Lentils,409,16.32,29.65,41.71,NULL,25.9,0,2.303,440,13.44,977,179,0,0,0,0,0,NULL
Pumpkin Seeds Salted,Nuts and Seeds,567,48.47,29.49,14.54,1.27,6.4,0,8.443,52,7.98,779,543,NULL,0,1.8,0,0,0.55
Seeds Watermelon Seed Kernels Dried,Nuts and Seeds,557,47.37,28.33,15.31,NULL,NULL,0,9.779,54,7.28,648,515,0,0,0,0,0,NULL
Peanuts All Types Oil-Roasted With Salt,Beans and Lentils,599,52.5,28.03,15.26,4.18,9.4,0,8.655,61,1.52,726,176,0,0,0.8,0,0,6.94
Peanuts All Types Oil-Roasted Without Salt,Beans and Lentils,599,52.5,28.03,15.26,4.18,9.4,0,8.686,61,1.52,726,176,0,0,0.8,0,0,6.91
Peanuts Spanish Oil-Roasted With Salt,Beans and Lentils,579,49.04,28.01,17.45,NULL,8.9,0,7.555,100,2.28,776,168,0,0,0,0,0,NULL
Peanuts Spanish Oil-Roasted Without Salt,Beans and Lentils,579,49.04,28.01,17.45,NULL,8.9,0,7.555,100,2.28,776,168,0,0,0,0,0,NULL
Peanuts Valencia Oil-Roasted With Salt,Beans and Lentils,589,51.24,27.04,16.3,NULL,8.9,0,7.894,54,1.65,612,160,0,0,0,0,0,NULL
Peanuts Valencia Oil-Roasted Without Salt,Beans and Lentils,589,51.24,27.04,16.3,NULL,8.9,0,7.894,54,1.65,612,160,0,0,0,0,0,NULL
Peanuts Spanish Raw,Beans and Lentils,570,49.6,26.15,15.83,NULL,9.5,0,7.098,106,3.91,744,188,0,0,0,0,0,NULL
Broadbeans (Fava Beans) Mature Seeds Raw,Beans and Lentils,341,1.53,26.12,58.29,5.7,25,0,0.254,103,6.7,1062,192,53,3,1.4,0,0,0.05
Peanut Butter Chunky Vitamin And Mineral Fortified,Beans and Lentils,593,51.47,26.06,17.69,10.94,5.7,0,7.972,45,17.5,744,370,3907,1172,0,0,0,43.2
Peanut Butter Smooth Reduced Fat,Beans and Lentils,520,34,25.9,35.65,9.28,5.2,0,5.76,35,1.9,669,170,0,0,0,0,0,9.04
Peanuts Virginia Oil-Roasted Without Salt,Beans and Lentils,578,48.62,25.87,19.86,NULL,8.9,0,6.345,86,1.67,652,188,0,0,0,0,0,NULL
Peanuts Virginia Oil-Roasted With Salt,Beans and Lentils,578,48.62,25.87,19.86,NULL,8.9,0,6.345,86,1.67,652,188,0,0,0,0,0,NULL
Raw Peanuts,Beans and Lentils,567,49.24,25.8,16.13,4.72,8.5,0,6.279,92,4.58,705,168,0,0,0,0,0,8.33
Peanut Butter Smooth Vitamin And Mineral Fortified,Beans and Lentils,591,50.81,25.72,18.75,10.47,5.6,0,10.125,43,16.6,667,355,3907,1172,0,0,0,43.2
Papad,Beans and Lentils,371,3.25,25.56,59.87,0,18.6,4,1.084,143,7.8,1000,271,50,13,0,0,0,0.05
Beans Kidney Royal Red Mature Seeds Raw,Beans and Lentils,329,0.45,25.33,58.33,NULL,24.9,0,0.065,131,8.7,1346,138,8,0,4.5,0,0,NULL
Mungo Beans Mature Seeds Raw,Beans and Lentils,341,1.64,25.21,58.99,NULL,18.3,0,0.114,138,7.57,983,267,23,1,0,0,0,NULL
Peanuts Virginia Raw,Beans and Lentils,563,48.75,25.19,16.54,3.95,8.5,0,6.434,89,2.55,690,171,0,0,0,0,0,6.56
Peanuts Valencia Raw,Beans and Lentils,570,47.58,25.09,20.91,NULL,8.7,0,7.329,62,2.09,332,184,0,0,0,0,0,NULL
Butternuts (Dried),Nuts and Seeds,612,56.98,24.9,12.05,NULL,4.7,0,1.306,53,4.02,421,237,124,6,3.2,0,0,NULL
